k,xk,f(xk),fd(xk),epsilon
0,1,-0.540302,-,-
1,0.5,-1.57073,2.06085,-
2,1.26217,-0.0709109,1.96782,0.603858
3,1.29821,-0.00823816,1.7392,0.0277577
4,1.30295,-3.12719e-005,1.7326,0.00363541
5,1.30296,-1.39154e-008,1.73183,1.38523e-005
6,1.30296,-2.36478e-014,1.73183,6.16678e-009
7,1.30296,-2.22045e-016,1.72951,1.03953e-014
