k,xk,f(xk),fd(xk),epsilon
0,0.5,-1.57073,-,-
1,1,-0.540302,2.06085,-
2,1.26217,-0.0709109,1.79038,0.207716
3,1.30178,-0.0020499,1.73863,0.0304249
4,1.30296,-7.78749e-06,1.73202,0.000904891
5,1.30296400072,-8.63026261566e-10,1.73182845997,3.45074e-06
6,1.30296400122,-2.22044604925e-16,1.73182777181,3.82461e-10
7,1.30296400122,1.66533453694e-16,1.75,1.70415e-16
