k,xk,f(xk),fd(xk),epsilon
0,-6,0.276937,0.957692,-
1,-6.28917,-0.00784209,0.998126,0.0459792
2,-6.28131,4.64733e-008,0.998127,0.00125082
3,-6.28131,4.00287e-016,0.998127,7.41254e-009
4,-6.28131,4.00287e-016,0.998127,0
