k,xk,f(xk),fd(xk),epsilon
0,-3,-0.190907,-1.03978,-
1,-3.1836,0.000562328,-1.04055,0.0576716
2,-3.18306,-1.21581e-008,-1.0406,0.000169777
3,-3.18306,-2.15106e-016,-1.0406,3.67061e-009
4,-3.18306,-2.15106e-016,-1.0406,0
