k,xk,f(xk),fd(xk),epsilon
1054,3.51173e+297,7.02346e+297,0.999646,0.936082
1055,-3.51422e+297,-7.02843e+297,-914.872,1.99929
1056,-3.5219e+297,-7.0438e+297,0.247377,0.00218133
1057,2.4952e+298,4.99041e+298,0.999324,1.14115
1058,-2.49858e+298,-4.99716e+298,-3.11337,1.99865
1059,-4.10365e+298,-8.20729e+298,-0.522402,0.391132
1060,-1.98143e+299,-3.96287e+299,0.992434,0.792895
1061,2.01165e+299,4.02329e+299,-17.1345,1.98498
1062,2.24645e+299,4.4929e+299,-152696,0.104523
1063,2.24648e+299,4.49296e+299,0.912322,1.30977e-005
1064,-2.67827e+299,-5.35655e+299,0.540691,1.83878
1065,7.22858e+299,1.44572e+300,-678.211,1.37051
1066,7.24989e+299,1.44998e+300,-3.11997,0.00294026
1067,1.18973e+300,2.37946e+300,-0.483718,0.390627
1068,6.10884e+300,1.22177e+301,0.498934,0.805244
1069,-1.83787e+301,-3.67574e+301,0.324819,1.33239
1070,9.47842e+301,1.89568e+302,-922.556,1.1939
1071,9.49897e+301,1.89979e+302,0.98502,0.0021632
1072,-9.78789e+301,-1.95758e+302,-798.742,1.97048
1073,-9.8124e+301,-1.96248e+302,0.993331,0.00249768
1074,9.94416e+301,1.98883e+302,0.87848,1.98675
1075,-1.26953e+302,-2.53906e+302,-0.480305,1.78329
1076,-6.55588e+302,-1.31118e+303,-1.00424,0.806352
1077,-1.96123e+303,-3.92246e+303,-5.48306,0.665727
1078,-2.67661e+303,-5.35322e+303,-5.48968,0.26727
1079,-3.65175e+303,-7.30351e+303,-9.98946,0.267034
1080,-4.38287e+303,-8.76575e+303,-1.038,0.166813
1081,-1.28277e+304,-2.56555e+304,0.831253,0.658329
1082,1.80359e+304,3.60718e+304,0.580952,1.71123
1083,-4.40549e+304,-8.81098e+304,-0.0236635,1.4094
1084,-3.7675e+306,-7.535e+306,-890.744,0.988307
1085,-3.77596e+306,-7.55191e+306,0.946022,0.00224028
1086,4.20685e+306,8.4137e+306,-37.9944,1.89757
1087,4.42829e+306,8.85659e+306,-0.371512,0.050007
1088,2.82676e+307,5.65352e+307,-28.5879,0.843344
1089,3.02452e+307,6.04904e+307,0.603259,0.0653853
1090,-7.00274e+307,-1.40055e+308,0.293111,1.4319
1091,inf,nan,nan,nan
