k,a,b,xk,f(xk),epsilon
0,-4,-2,-2.86965,-0.105837,-
1,-4,-2.86965,-2.99748,0.00599753,0.0426444
2,-2.99748,-2.86965,-2.99062,-9.84778e-005,0.0022922
3,-2.99747952934,-2.99062440567,-2.99073514657,-7.38981005282e-008,3.7028e-005
4,-2.99747952934,-2.99073514657,-2.99073522967,-5.54416548478e-011,2.77856e-008
5,-2.99747952934,-2.99073522967,-2.99073522973,-4.16156502705e-014,2.0846e-011
