setsize,time
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
8,0.001000
8,0.000000
8,0.001000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.002000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.002000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.002000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.002000
12,0.000000
12,0.000000
12,0.000000
16,0.001000
16,0.000000
16,0.000000
16,0.000000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.001000
16,0.001000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.002000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
