k,a,b,xk,f(xk),epsilon
0,0.8,1,0.9,0.0266731,-
1,0.8,0.9,0.85,-0.0287804,0.0588235
2,0.85,0.9,0.875,-0.0019185,0.0285714
3,0.875,0.9,0.8875,0.0121605,0.0140845
4,0.875,0.8875,0.88125,0.00506685,0.0070922
5,0.875,0.88125,0.878125,0.00156065,0.00355872
6,0.875,0.878125,0.876563,-0.000182306,0.00178253
7,0.876563,0.878125,0.877344,0.000688327,0.000890472
8,0.876563,0.877344,0.876953,0.000252799,0.000445434
9,0.876563,0.876953,0.876758,3.51937e-05,0.000222767
10,0.876563,0.876758,0.87666,-7.35694e-05,0.000111396
11,0.87666015625,0.8767578125,0.876708984375,-1.91911798797e-05,5.56948e-05
12,0.876708984375,0.8767578125,0.876733398437,8.00041100824e-06,2.78466e-05
13,0.876708984375,0.876733398437,0.876721191406,-5.59559071589e-06,1.39235e-05
14,0.876721191406,0.876733398437,0.876727294922,1.20235857604e-06,6.9617e-06
15,0.876721191406,0.876727294922,0.876724243164,-2.19662896239e-06,3.48086e-06
16,0.876724243164,0.876727294922,0.876725769043,-4.97138416322e-07,1.74043e-06
17,0.876725769043,0.876727294922,0.876726531982,3.52609274001e-07,8.70214e-07
18,0.876725769043,0.876726531982,0.876726150513,-7.22647726104e-08,4.35107e-07
19,0.876726150513,0.876726531982,0.876726341248,1.40172200291e-07,2.17553e-07
20,0.876726150513,0.876726341248,0.87672624588,3.3953701295e-08,1.08777e-07
21,0.876726150513,0.87672624588,0.876726198196,-1.91555387108e-08,5.43884e-08
22,0.876726198196,0.87672624588,0.876726222038,7.39908045944e-09,2.71942e-08
23,0.876726198196,0.876726222038,0.876726210117,-5.87822934772e-09,1.35971e-08
24,0.876726210117,0.876726222038,0.876726216078,7.60425500346e-10,6.79855e-09
25,0.876726210117,0.876726216078,0.876726213098,-2.55890186818e-09,3.39927e-09
26,0.876726213098,0.876726216078,0.876726214588,-8.99238350449e-10,1.69964e-09
27,0.876726214588,0.876726216078,0.876726215333,-6.94063695406e-11,8.49818e-10
28,0.876726215333,0.876726216078,0.876726215705,3.45509509891e-10,4.24909e-10
29,0.876726215333,0.876726215705,0.876726215519,1.38051570175e-10,2.12455e-10
30,0.876726215333,0.876726215519,0.876726215426,3.43226558286e-11,1.06227e-10
31,0.876726215333,0.876726215426,0.876726215379,-1.75420789006e-11,5.31137e-11
