k,a,b,xk,f(xk),epsilon
0,0,1,0.5,0.351279,-
1,0,0.5,0.25,-0.284025,1
2,0.25,0.5,0.375,0.0450086,0.333333
3,0.25,0.375,0.3125,-0.116838,0.2
4,0.3125,0.375,0.34375,-0.035226,0.0909091
5,0.34375,0.375,0.359375,0.00506614,0.0434783
6,0.34375,0.359375,0.351562,-0.0150366,0.0222222
7,0.351562,0.359375,0.355469,-0.00497433,0.010989
8,0.355469,0.359375,0.357422,4.86285e-05,0.00546448
9,0.355469,0.357422,0.356445,-0.00246217,0.00273973
10,0.356445,0.357422,0.356934,-0.0012066,0.00136799
11,0.356934,0.357422,0.357178,-0.000578944,0.000683527
12,0.357178,0.357422,0.3573,-0.000265147,0.000341647
13,0.3573,0.357422,0.357361,-0.000108257,0.000170794
14,0.357360839844,0.357421875,0.357391357422,-2.98134104657e-05,8.53898e-05
15,0.357391357422,0.357421875,0.357406616211,9.40768709734e-06,4.26931e-05
16,0.357391357422,0.357406616211,0.357398986816,-1.0202820077e-05,2.1347e-05
17,0.357398986816,0.357406616211,0.357402801514,-3.9755608805e-07,1.06734e-05
18,0.357402801514,0.357406616211,0.357404708862,4.50506810523e-06,5.33666e-06
19,0.357402801514,0.357404708862,0.357403755188,2.05375665874e-06,2.66834e-06
20,0.357402801514,0.357403755188,0.357403278351,8.28100447769e-07,1.33417e-06
21,0.357402801514,0.357403278351,0.357403039932,2.15272220494e-07,6.67086e-07
22,0.357402801514,0.357403039932,0.357402920723,-9.11419235639e-08,3.33543e-07
23,0.357402920723,0.357403039932,0.357402980328,6.20651510186e-08,1.66772e-07
24,0.357402920723,0.357402980328,0.357402950525,-1.45383856065e-08,8.33858e-08
25,0.357402950525,0.357402980328,0.357402965426,2.37633828171e-08,4.16929e-08
26,0.357402950525,0.357402965426,0.357402957976,4.61249860528e-09,2.08464e-08
27,0.357402950525,0.357402957976,0.357402954251,-4.96294361163e-09,1.04232e-08
28,0.357402954251,0.357402957976,0.357402956113,-1.75222503174e-10,5.21161e-09
29,0.357402956113,0.357402957976,0.357402957045,2.21863816208e-09,2.60581e-09
30,0.357402956113,0.357402957045,0.357402956579,1.02170782945e-09,1.3029e-09
31,0.357402956113,0.357402956579,0.357402956346,4.23242774161e-10,6.51451e-10
32,0.357402956113,0.357402956346,0.35740295623,1.24010135494e-10,3.25726e-10
33,0.357402956113,0.35740295623,0.357402956171,-2.560618384e-11,1.62863e-10
34,0.357402956171,0.35740295623,0.357402956201,4.92019758269e-11,8.14314e-11
