best_training_loss,best_training_loss_epoch,best_validation_loss,best_validation_loss_epoch,best_training_acc,best_training_acc_epoch,best_validation_acc,best_validation_acc_epoch,final_validation_loss,final_validation_acc,final_training_loss,final_training_acc,learning_rate,hidden_neurons,hidden_activation,output_activation,elapsed_seconds
0.37208550708210675,9999,0.3807145164736708,9999,0.3235294117647059,0,0.26666666666666666,9201,0.3807145164736708,0.2,0.37208550708210675,0.23529411764705882,0.001,5,sigmoid,sigmoid,19.824721813201904
0.3396338137156811,9999,0.34279632088863893,9999,0.3235294117647059,0,0.4,9541,0.34279632088863893,0.4,0.3396338137156811,0.29411764705882354,0.001,5,sigmoid,sigmoid,19.762791633605957
0.341597263377769,9999,0.35158653955458957,5568,0.5,9499,0.5333333333333333,3713,0.3534209163954504,0.3333333333333333,0.341597263377769,0.5,0.001,10,sigmoid,sigmoid,20.284492254257202
0.38057832986141066,9999,0.3729961246455283,9999,0.38235294117647056,0,0.2,0,0.3729961246455283,0.13333333333333333,0.38057832986141066,0.38235294117647056,0.001,10,sigmoid,sigmoid,20.014767169952393
0.3014915246466788,9999,0.33412645523614065,906,0.5588235294117647,1123,0.4,1909,0.3468378976940471,0.3333333333333333,0.3014915246466788,0.5294117647058824,0.001,15,sigmoid,sigmoid,20.31290292739868
0.20480605735649463,9999,0.23933994245424567,363,0.7941176470588235,725,0.7333333333333333,0,0.2920296744887179,0.4666666666666667,0.20480605735649463,0.7647058823529411,0.001,15,sigmoid,sigmoid,21.44601798057556
0.31010716589489457,9999,0.3614664387235517,9999,0.47058823529411764,9822,0.4,53,0.3614664387235517,0.26666666666666666,0.31010716589489457,0.47058823529411764,0.001,20,sigmoid,sigmoid,22.41473388671875
0.23794163310852526,9999,0.2802439154608224,739,0.7058823529411765,4730,0.5333333333333333,536,0.2871214755072977,0.5333333333333333,0.23794163310852526,0.7058823529411765,0.001,20,sigmoid,sigmoid,20.96994423866272
0.3052200457946148,9999,0.31846156295689937,9999,0.5294117647058824,2920,0.5333333333333333,3492,0.31846156295689937,0.5333333333333333,0.3052200457946148,0.5,0.001,25,sigmoid,sigmoid,20.931873083114624
0.26194811801688767,9999,0.37881372472718816,9999,0.7352941176470589,7218,0.3333333333333333,5826,0.37881372472718816,0.3333333333333333,0.26194811801688767,0.7352941176470589,0.001,25,sigmoid,sigmoid,21.1393985748291
0.21889463579605917,9999,0.3250669893390458,2609,0.6764705882352942,779,0.5333333333333333,1197,0.32940732531724987,0.5333333333333333,0.21889463579605917,0.6764705882352942,0.001,30,sigmoid,sigmoid,24.757514238357544
