round,accuracy,self,enemy
0,0.14814814814814814,both,both
3,0.4090909090909091,both,both
4,0.14285714285714285,both,both
5,0.125,both,both
6,0.8823529411764706,both,both
7,0.19444444444444445,both,both
8,0.10344827586206896,both,both
9,0.5,both,both
10,0.125,both,both
13,0.375,both,both
16,0.3333333333333333,both,both
17,0.3103448275862069,both,both
18,0.2857142857142857,both,both
19,0.05555555555555555,both,both
20,0.32142857142857145,both,both
21,0.19230769230769232,both,both
22,0.26666666666666666,both,both
26,0.5161290322580645,both,both
27,0.1935483870967742,both,both
28,0.25,both,both
29,0.3,both,both
30,0.2631578947368421,both,both
31,0.47540983606557374,both,both
33,0.2702702702702703,both,both
35,0.26666666666666666,both,both
37,0.13513513513513514,both,both
39,0.4,both,both
40,0.3333333333333333,both,both
42,0.34210526315789475,both,both
44,0.20588235294117646,both,both
46,0.19047619047619047,both,both
49,0.23333333333333334,both,both
50,0.36,both,both
51,0.18604651162790697,both,both
52,0.24489795918367346,both,both
53,0.72,both,both
55,0.19444444444444445,both,both
56,0.08823529411764706,both,both
58,0.2631578947368421,both,both
59,0.2692307692307692,both,both
60,0.3333333333333333,both,both
61,0.36,both,both
62,0.2,both,both
63,0.32,both,both
64,0.2857142857142857,both,both
65,0.7058823529411765,both,both
66,0.3333333333333333,both,both
67,0.25,both,both
68,0.11627906976744186,both,both
69,0.25,both,both
70,0.20833333333333334,both,both
71,0.25,both,both
72,0.21875,both,both
73,0.275,both,both
75,0.4,both,both
77,0.2727272727272727,both,both
78,0.72,both,both
79,0.2,both,both
80,0.1875,both,both
81,0.13636363636363635,both,both
82,0.037037037037037035,both,both
83,0.16666666666666666,both,both
84,0.21212121212121213,both,both
85,0.2222222222222222,both,both
86,0.3333333333333333,both,both
89,0.1724137931034483,both,both
90,0.14,both,both
92,0.1951219512195122,both,both
93,0.12,both,both
95,0.43137254901960786,both,both
96,0.45454545454545453,both,both
97,0.47619047619047616,both,both
98,0.4722222222222222,both,both
99,0.34615384615384615,both,both
100,0.21621621621621623,both,both
101,0.15,both,both
102,0.25806451612903225,both,both
103,0.4074074074074074,both,both
106,0.22857142857142856,both,both
107,0.1935483870967742,both,both
108,0.1111111111111111,both,both
110,0.75,both,both
111,0.42424242424242425,both,both
112,0.14705882352941177,both,both
114,0.2222222222222222,both,both
115,0.2,both,both
116,0.13793103448275862,both,both
117,0.5416666666666666,both,both
118,0.2465753424657534,both,both
119,0.35294117647058826,both,both
120,0.24242424242424243,both,both
121,0.29411764705882354,both,both
122,0.38461538461538464,both,both
123,0.3,both,both
124,0.5294117647058824,both,both
125,0.20689655172413793,both,both
126,0.24324324324324326,both,both
128,0.2033898305084746,both,both
129,0.38461538461538464,both,both
130,0.25,both,both
131,0.4375,both,both
133,0.3793103448275862,both,both
134,0.2727272727272727,both,both
135,0.06666666666666667,both,both
136,0.1,both,both
137,0.3076923076923077,both,both
138,0.3333333333333333,both,both
139,0.18181818181818182,both,both
140,0.1794871794871795,both,both
143,0.06521739130434782,both,both
144,0.2857142857142857,both,both
145,0.5,both,both
146,0.29411764705882354,both,both
147,0.25396825396825395,both,both
148,0.5263157894736842,both,both
149,0.0,both,both
150,0.125,both,both
151,0.2564102564102564,both,both
152,0.3684210526315789,both,both
154,0.13636363636363635,both,both
155,0.15384615384615385,both,both
160,0.22580645161290322,both,both
161,0.6363636363636364,both,both
162,0.8823529411764706,both,both
163,1.0,both,both
165,0.25925925925925924,both,both
166,0.5833333333333334,both,both
167,0.2777777777777778,both,both
168,0.21428571428571427,both,both
171,0.2857142857142857,both,both
172,0.28125,both,both
173,0.23809523809523808,both,both
174,0.2222222222222222,both,both
175,0.24242424242424243,both,both
176,0.13513513513513514,both,both
177,0.15789473684210525,both,both
178,0.36,both,both
179,0.4444444444444444,both,both
180,0.38461538461538464,both,both
181,0.25,both,both
182,0.3333333333333333,both,both
183,0.025,both,both
186,0.045454545454545456,both,both
187,0.2,both,both
188,0.24,both,both
189,0.20833333333333334,both,both
190,0.18181818181818182,both,both
191,0.32432432432432434,both,both
192,0.42857142857142855,both,both
193,0.0,both,both
194,0.28,both,both
196,0.16666666666666666,both,both
197,0.6296296296296297,both,both
200,0.125,both,both
202,0.5909090909090909,both,both
203,0.21052631578947367,both,both
204,0.34782608695652173,both,both
205,0.25,both,both
206,0.2916666666666667,both,both
210,0.0,both,both
211,0.15,both,both
212,0.32142857142857145,both,both
213,0.3142857142857143,both,both
215,0.25,both,both
217,0.3,both,both
218,0.6,both,both
219,0.21621621621621623,both,both
220,0.12,both,both
224,0.0967741935483871,both,both
225,0.23809523809523808,both,both
227,0.1,both,both
229,0.09090909090909091,both,both
230,0.37142857142857144,both,both
231,0.6470588235294118,both,both
233,0.4,both,both
234,0.4375,both,both
235,0.2619047619047619,both,both
236,0.2777777777777778,both,both
237,0.16279069767441862,both,both
239,0.14814814814814814,both,both
240,0.32,both,both
243,0.5483870967741935,both,both
244,0.16666666666666666,both,both
245,0.19607843137254902,both,both
246,0.3684210526315789,both,both
247,0.20689655172413793,both,both
248,0.22580645161290322,both,both
249,0.2413793103448276,both,both
250,0.38461538461538464,both,both
251,0.34782608695652173,both,both
253,0.16666666666666666,both,both
254,0.2916666666666667,both,both
255,0.2692307692307692,both,both
256,0.6363636363636364,both,both
257,0.06451612903225806,both,both
258,0.2,both,both
259,0.2647058823529412,both,both
260,0.4186046511627907,both,both
262,0.2608695652173913,both,both
263,0.2,both,both
264,0.10344827586206896,both,both
265,0.47058823529411764,both,both
266,0.2857142857142857,both,both
267,0.275,both,both
269,0.16666666666666666,both,both
270,0.20833333333333334,both,both
271,0.18181818181818182,both,both
273,0.5,both,both
274,0.125,both,both
275,0.391304347826087,both,both
276,0.34782608695652173,both,both
277,0.3076923076923077,both,both
279,0.39285714285714285,both,both
281,0.25925925925925924,both,both
282,0.7307692307692307,both,both
283,0.2972972972972973,both,both
284,0.21052631578947367,both,both
285,0.25,both,both
286,0.8333333333333334,both,both
