round,accuracy,self,enemy
203,0.6896551724137931,both,stationary
204,0.6551724137931034,both,stationary
205,0.3888888888888889,both,stationary
206,0.1780821917808219,both,stationary
207,0.3409090909090909,both,stationary
208,0.5151515151515151,both,stationary
209,0.48484848484848486,both,stationary
210,0.45454545454545453,both,stationary
211,0.36363636363636365,both,stationary
212,0.8571428571428571,both,stationary
213,0.3275862068965517,both,stationary
214,0.12337662337662338,both,stationary
215,0.48,both,stationary
216,0.23255813953488372,both,stationary
217,0.26666666666666666,both,stationary
218,0.04807692307692308,both,stationary
219,1.0,both,stationary
220,0.425,both,stationary
221,0.168141592920354,both,stationary
222,0.24561403508771928,both,stationary
223,0.8076923076923077,both,stationary
224,0.5625,both,stationary
225,0.34210526315789475,both,stationary
226,0.9166666666666666,both,stationary
227,0.5714285714285714,both,stationary
228,0.203125,both,stationary
229,0.36363636363636365,both,stationary
230,0.12179487179487179,both,stationary
231,0.7586206896551724,both,stationary
232,0.011627906976744186,both,stationary
233,0.1917808219178082,both,stationary
234,0.6774193548387096,both,stationary
235,0.1794871794871795,both,stationary
236,0.96,both,stationary
237,0.5428571428571428,both,stationary
238,1.0,both,stationary
239,0.625,both,stationary
240,0.8571428571428571,both,stationary
241,0.8275862068965517,both,stationary
242,0.8,both,stationary
243,1.0,both,stationary
244,0.8076923076923077,both,stationary
245,0.3170731707317073,both,stationary
246,0.07801418439716312,both,stationary
247,0.2542372881355932,both,stationary
248,0.4222222222222222,both,stationary
249,0.4117647058823529,both,stationary
250,0.5333333333333333,both,stationary
251,1.0,both,stationary
252,0.75,both,stationary
253,0.24444444444444444,both,stationary
254,0.6857142857142857,both,stationary
255,0.88,both,stationary
256,0.44,both,stationary
257,0.7741935483870968,both,stationary
258,0.6333333333333333,both,stationary
259,0.5,both,stationary
260,0.8571428571428571,both,stationary
261,1.0,both,stationary
262,0.21951219512195122,both,stationary
263,1.0,both,stationary
264,0.4375,both,stationary
265,0.7333333333333333,both,stationary
266,0.68,both,stationary
267,0.16666666666666666,both,stationary
268,0.125,both,stationary
269,0.72,both,stationary
270,0.14545454545454545,both,stationary
271,0.6451612903225806,both,stationary
272,0.26666666666666666,both,stationary
273,0.7931034482758621,both,stationary
274,0.875,both,stationary
275,0.2169811320754717,both,stationary
276,0.0,both,stationary
277,0.8571428571428571,both,stationary
278,0.6666666666666666,both,stationary
279,0.5106382978723404,both,stationary
280,0.2698412698412698,both,stationary
281,1.0,both,stationary
282,0.19753086419753085,both,stationary
283,1.0,both,stationary
284,0.6333333333333333,both,stationary
285,0.6153846153846154,both,stationary
286,0.38,both,stationary
287,0.6060606060606061,both,stationary
288,0.5862068965517241,both,stationary
289,0.25806451612903225,both,stationary
290,0.375,both,stationary
291,0.3018867924528302,both,stationary
292,0.09278350515463918,both,stationary
293,0.17073170731707318,both,stationary
294,0.35714285714285715,both,stationary
295,0.30952380952380953,both,stationary
296,0.96,both,stationary
297,0.4444444444444444,both,stationary
298,0.43902439024390244,both,stationary
299,0.6060606060606061,both,stationary
300,0.8846153846153846,both,stationary
301,0.8,both,stationary
302,0.9583333333333334,both,stationary
303,0.2222222222222222,both,stationary
304,0.15625,both,stationary
305,1.0,both,stationary
306,0.6296296296296297,both,stationary
307,0.40625,both,stationary
308,0.24489795918367346,both,stationary
309,0.8518518518518519,both,stationary
310,0.4,both,stationary
311,0.4827586206896552,both,stationary
312,1.0,both,stationary
313,0.3902439024390244,both,stationary
314,0.3333333333333333,both,stationary
315,0.17699115044247787,both,stationary
316,0.13924050632911392,both,stationary
317,0.18823529411764706,both,stationary
318,0.15384615384615385,both,stationary
319,0.96,both,stationary
320,0.21739130434782608,both,stationary
321,0.36538461538461536,both,stationary
322,0.8571428571428571,both,stationary
323,0.45,both,stationary
324,0.5666666666666667,both,stationary
325,0.475,both,stationary
326,0.7857142857142857,both,stationary
327,0.8275862068965517,both,stationary
328,0.5277777777777778,both,stationary
329,0.08,both,stationary
330,1.0,both,stationary
331,0.35294117647058826,both,stationary
332,0.4791666666666667,both,stationary
333,0.4722222222222222,both,stationary
334,0.6296296296296297,both,stationary
335,0.38095238095238093,both,stationary
336,0.6071428571428571,both,stationary
337,0.88,both,stationary
338,0.5135135135135135,both,stationary
339,0.92,both,stationary
340,0.96,both,stationary
341,0.5,both,stationary
342,0.3673469387755102,both,stationary
343,0.5172413793103449,both,stationary
344,0.42105263157894735,both,stationary
345,0.35555555555555557,both,stationary
346,0.8888888888888888,both,stationary
347,0.9583333333333334,both,stationary
348,0.1836734693877551,both,stationary
349,0.6333333333333333,both,stationary
350,0.9230769230769231,both,stationary
351,0.48,both,stationary
352,0.18867924528301888,both,stationary
353,0.5,both,stationary
354,0.21875,both,stationary
355,0.6551724137931034,both,stationary
356,0.5757575757575758,both,stationary
357,0.175,both,stationary
358,0.7777777777777778,both,stationary
359,1.0,both,stationary
360,0.9565217391304348,both,stationary
361,0.75,both,stationary
362,0.31343283582089554,both,stationary
363,0.2786885245901639,both,stationary
364,0.631578947368421,both,stationary
365,0.30357142857142855,both,stationary
366,0.7037037037037037,both,stationary
367,0.8571428571428571,both,stationary
368,0.5714285714285714,both,stationary
369,0.5333333333333333,both,stationary
370,0.45714285714285713,both,stationary
371,1.0,both,stationary
372,0.12149532710280374,both,stationary
373,0.96,both,stationary
