round,accuracy,self,enemy
230,0.15384615384615385,both,walls
231,0.09090909090909091,both,walls
232,0.2857142857142857,both,walls
233,0.07407407407407407,both,walls
234,0.6666666666666666,both,walls
235,0.1875,both,walls
236,0.07142857142857142,both,walls
237,0.21052631578947367,both,walls
238,0.05714285714285714,both,walls
239,0.25,both,walls
240,0.3584905660377358,both,walls
241,0.14285714285714285,both,walls
242,0.05263157894736842,both,walls
243,0.13043478260869565,both,walls
244,0.25,both,walls
245,0.18518518518518517,both,walls
246,0.35294117647058826,both,walls
247,0.21739130434782608,both,walls
248,0.125,both,walls
249,0.11428571428571428,both,walls
250,0.2857142857142857,both,walls
251,0.1111111111111111,both,walls
252,0.23529411764705882,both,walls
253,0.2857142857142857,both,walls
254,0.11764705882352941,both,walls
255,0.07692307692307693,both,walls
256,0.027777777777777776,both,walls
257,0.14285714285714285,both,walls
258,0.3333333333333333,both,walls
259,0.09090909090909091,both,walls
260,0.3333333333333333,both,walls
261,0.23809523809523808,both,walls
262,0.2,both,walls
263,0.2916666666666667,both,walls
264,0.16666666666666666,both,walls
265,0.0,both,walls
266,0.14285714285714285,both,walls
267,0.16666666666666666,both,walls
268,0.07692307692307693,both,walls
269,0.16666666666666666,both,walls
270,0.0,both,walls
271,0.2222222222222222,both,walls
272,0.5,both,walls
273,0.2,both,walls
274,0.07142857142857142,both,walls
275,0.2222222222222222,both,walls
276,0.0,both,walls
277,0.6,both,walls
278,0.08333333333333333,both,walls
279,0.06896551724137931,both,walls
280,0.4,both,walls
281,0.06896551724137931,both,walls
282,0.18181818181818182,both,walls
283,0.16666666666666666,both,walls
284,0.0,both,walls
285,0.13333333333333333,both,walls
286,0.15,both,walls
287,0.043478260869565216,both,walls
288,0.11538461538461539,both,walls
289,0.09090909090909091,both,walls
290,0.1111111111111111,both,walls
291,0.14285714285714285,both,walls
292,0.10714285714285714,both,walls
293,0.20588235294117646,both,walls
294,0.5,both,walls
295,0.37777777777777777,both,walls
296,0.0,both,walls
297,0.07692307692307693,both,walls
298,0.17142857142857143,both,walls
299,0.25,both,walls
300,0.0,both,walls
301,0.19230769230769232,both,walls
302,0.2,both,walls
303,0.1,both,walls
304,0.125,both,walls
305,0.2727272727272727,both,walls
306,0.0,both,walls
307,0.3783783783783784,both,walls
308,0.2777777777777778,both,walls
309,0.14285714285714285,both,walls
310,0.1724137931034483,both,walls
311,0.11538461538461539,both,walls
312,0.1,both,walls
313,0.25,both,walls
314,0.07142857142857142,both,walls
315,0.03571428571428571,both,walls
316,0.0,both,walls
317,0.2,both,walls
318,0.18181818181818182,both,walls
319,0.047619047619047616,both,walls
320,0.2608695652173913,both,walls
321,0.13636363636363635,both,walls
322,0.125,both,walls
323,0.2857142857142857,both,walls
324,0.09090909090909091,both,walls
325,0.0,both,walls
326,0.35,both,walls
327,0.21875,both,walls
328,0.3,both,walls
329,0.11764705882352941,both,walls
330,0.13043478260869565,both,walls
331,0.5,both,walls
332,0.4,both,walls
333,0.47058823529411764,both,walls
334,0.2727272727272727,both,walls
335,0.2,both,walls
336,0.23529411764705882,both,walls
337,0.4,both,walls
338,0.0,both,walls
339,0.16666666666666666,both,walls
340,0.2,both,walls
341,0.07142857142857142,both,walls
342,0.12121212121212122,both,walls
343,0.05,both,walls
344,0.0,both,walls
345,0.13636363636363635,both,walls
346,0.3333333333333333,both,walls
347,0.1111111111111111,both,walls
348,0.3695652173913043,both,walls
349,0.3,both,walls
350,0.1,both,walls
351,0.10714285714285714,both,walls
352,0.2,both,walls
353,0.0,both,walls
354,0.25,both,walls
355,0.38461538461538464,both,walls
356,0.2,both,walls
357,0.1,both,walls
358,0.25,both,walls
359,0.13793103448275862,both,walls
360,0.16,both,walls
361,0.25,both,walls
362,0.08695652173913043,both,walls
363,0.3333333333333333,both,walls
364,0.4666666666666667,both,walls
365,0.0,both,walls
366,0.2857142857142857,both,walls
367,0.35,both,walls
368,0.15384615384615385,both,walls
369,0.047619047619047616,both,walls
370,0.3076923076923077,both,walls
371,0.06451612903225806,both,walls
372,0.16666666666666666,both,walls
373,0.3125,both,walls
374,0.25,both,walls
375,0.0,both,walls
376,0.2,both,walls
377,0.07692307692307693,both,walls
378,0.058823529411764705,both,walls
379,0.13043478260869565,both,walls
380,0.2727272727272727,both,walls
381,0.13333333333333333,both,walls
382,0.0,both,walls
383,0.15384615384615385,both,walls
384,0.375,both,walls
385,1.0,both,walls
386,0.10526315789473684,both,walls
387,0.0,both,walls
388,0.125,both,walls
389,0.045454545454545456,both,walls
390,0.25,both,walls
391,0.2222222222222222,both,walls
392,0.12,both,walls
393,0.1875,both,walls
394,0.05263157894736842,both,walls
395,0.25,both,walls
396,0.11764705882352941,both,walls
397,0.10526315789473684,both,walls
398,0.2222222222222222,both,walls
399,0.2222222222222222,both,walls
400,0.42105263157894735,both,walls
401,0.5714285714285714,both,walls
402,0.125,both,walls
403,0.18518518518518517,both,walls
404,0.2857142857142857,both,walls
405,0.17391304347826086,both,walls
406,0.25,both,walls
407,0.17647058823529413,both,walls
408,0.125,both,walls
409,0.3181818181818182,both,walls
410,0.09090909090909091,both,walls
411,0.0,both,walls
412,0.21052631578947367,both,walls
413,0.275,both,walls
414,0.0,both,walls
415,0.5,both,walls
416,0.15625,both,walls
417,0.1724137931034483,both,walls
418,0.2857142857142857,both,walls
419,0.13333333333333333,both,walls
420,0.25,both,walls
421,0.18518518518518517,both,walls
422,0.16,both,walls
423,0.3333333333333333,both,walls
424,0.11538461538461539,both,walls
425,0.23076923076923078,both,walls
426,0.25,both,walls
427,0.05555555555555555,both,walls
428,0.14285714285714285,both,walls
429,0.14285714285714285,both,walls
430,0.23076923076923078,both,walls
431,0.0,both,walls
432,0.23076923076923078,both,walls
433,0.625,both,walls
434,0.18181818181818182,both,walls
435,0.3,both,walls
436,0.2,both,walls
437,0.13333333333333333,both,walls
438,0.25,both,walls
439,0.0,both,walls
440,0.17647058823529413,both,walls
441,0.0,both,walls
442,0.06666666666666667,both,walls
443,0.21428571428571427,both,walls
444,0.1111111111111111,both,walls
445,0.08333333333333333,both,walls
446,0.4444444444444444,both,walls
447,0.15384615384615385,both,walls
448,0.15789473684210525,both,walls
449,0.125,both,walls
450,0.1,both,walls
451,0.13636363636363635,both,walls
452,0.08333333333333333,both,walls
453,0.09523809523809523,both,walls
454,0.19047619047619047,both,walls
455,0.18181818181818182,both,walls
456,0.3333333333333333,both,walls
457,0.2727272727272727,both,walls
458,0.11764705882352941,both,walls
459,0.08333333333333333,both,walls
460,0.0,both,walls
461,0.07692307692307693,both,walls
462,0.0,both,walls
463,0.3,both,walls
464,0.0,both,walls
465,0.2,both,walls
466,0.12,both,walls
467,0.23529411764705882,both,walls
468,0.20833333333333334,both,walls
469,0.14285714285714285,both,walls
470,0.05555555555555555,both,walls
471,0.15384615384615385,both,walls
472,0.0,both,walls
473,0.13333333333333333,both,walls
474,0.14705882352941177,both,walls
475,0.0,both,walls
476,0.3225806451612903,both,walls
477,0.0,both,walls
478,0.0,both,walls
479,0.2,both,walls
480,0.15,both,walls
481,0.125,both,walls
482,0.08333333333333333,both,walls
483,0.16666666666666666,both,walls
484,0.15,both,walls
485,0.05263157894736842,both,walls
486,0.34782608695652173,both,walls
487,0.19047619047619047,both,walls
488,0.09523809523809523,both,walls
