7651.022114725776,
11127.66712428028,
15921.158243039456,
22278.577147909593,
31173.538824797666,
41758.954277754354,
53215.53245107063,
64393.81096358579,
74236.30512345713,
82139.91139445761,
6995,
9727.393895000001,
13415.486124548372,
18294.094171435296,
24571.98342091408,
32356.33050689975,
41548.87439953638,
51748.90399909417,
62236.057605262366,
72107.2289612413,
80554.56475739337,
87133.52276183563,
91842.14900847983,
