6785,
9156.8309573,
12267.263875399623,
12230.858350702705,
16460.565362749698,
16398.954518832048,
21899.584885260956,
21475.626334662116,
28305.735910198466,
27115.726433471365,
35166.343569967605,
32773.63794492112,
41784.17920560309,
37864.438697213955,
47515.72035664374,
41987.078153477734,
