setsize,time
4,0.001000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.001000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
4,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
8,0.001000
8,0.000000
8,0.000000
8,0.000000
8,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.001000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.002000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.001000
12,0.000000
12,0.001000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.000000
12,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.003000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.007000
16,0.001000
16,0.000000
16,0.000000
16,0.001000
16,0.000000
16,0.001000
16,0.001000
16,0.000000
16,0.001000
16,0.002000
16,0.000000
16,0.000000
16,0.000000
16,0.000000
20,0.001000
20,0.000000
20,0.001000
20,0.001000
20,0.000000
20,0.001000
20,0.001000
20,0.000000
20,0.000000
20,0.000000
20,0.002000
20,0.000000
20,0.001000
20,0.000000
20,0.001000
20,0.001000
20,0.001000
20,0.001000
20,0.001000
20,0.000000
20,0.007000
20,0.000000
20,0.001000
20,0.001000
20,0.001000
20,0.000000
20,0.001000
20,0.000000
20,0.001000
20,0.000000
24,0.005000
24,0.003000
24,0.003000
24,0.024000
24,0.002000
24,0.005000
24,0.000000
24,0.003000
24,0.000000
24,0.001000
24,0.003000
24,0.002000
24,0.002000
24,0.018000
24,0.001000
24,0.001000
24,0.001000
24,0.001000
24,0.001000
24,0.002000
24,0.002000
24,0.007000
24,0.014000
24,0.007000
24,0.006000
24,0.001000
24,0.002000
24,0.006000
24,0.001000
24,0.005000
28,0.002000
28,0.006000
28,0.030000
28,0.103000
28,0.014000
28,0.009000
28,0.025000
28,0.020000
28,0.015000
28,0.003000
28,0.020000
28,0.004000
28,0.019000
28,0.031000
28,0.009000
28,0.021000
28,0.000000
28,0.022000
28,0.004000
28,0.014000
28,0.002000
28,0.012000
28,0.008000
28,0.006000
28,0.050000
28,0.012000
28,0.006000
28,0.001000
28,0.002000
28,0.009000
32,0.032000
32,0.037000
32,0.016000
32,0.005000
32,0.006000
32,0.092000
32,0.092000
32,0.034000
32,0.035000
32,0.058000
32,0.102000
32,0.009000
32,0.009000
32,0.043000
32,0.004000
32,0.045000
32,0.242000
32,0.081000
32,0.042000
32,0.085000
32,0.086000
32,0.015000
32,0.003000
32,0.072000
32,0.012000
32,0.014000
32,0.060000
32,0.065000
32,0.072000
32,0.003000
36,0.357000
36,0.221000
36,0.883000
36,0.221000
36,0.102000
36,0.106000
36,0.309000
36,0.162000
36,0.108000
36,0.313000
36,0.155000
36,0.030000
36,0.164000
36,0.076000
36,0.182000
36,0.024000
36,0.088000
36,0.119000
36,1.740000
36,0.706000
36,0.153000
36,0.151000
36,0.068000
36,0.032000
36,0.343000
36,0.201000
36,0.926000
36,0.239000
36,0.005000
36,55.968000
40,0.304000
40,0.312000
40,0.163000
40,3.355000
40,6.070000
40,0.321000
40,1.066000
40,0.036000
40,0.693000
40,0.287000
40,2.194000
40,0.077000
40,2.913000
40,0.110000
40,0.265000
40,0.660000
40,0.416000
40,3.387000
40,0.272000
40,0.581000
40,0.054000
40,0.269000
40,0.350000
40,3.135000
40,3.068000
40,0.005000
40,0.015000
40,0.514000
40,0.350000
40,1.360000
44,1.944000
44,26.679000
44,0.365000
44,0.242000
44,0.179000
44,5.903000
44,0.925000
44,12.319000
44,0.553000
44,0.010000
44,2.364000
44,7.929000
44,7.319000
44,4.800000
44,11.458000
44,0.009000
44,1.699000
44,3.555000
44,1.636000
44,6.312000
44,19.332000
44,4.920000
44,0.366000
44,1.134000
44,4.310000
44,7.219000
44,1.506000
44,8.772000
44,1.547000
44,1.956000
48,15.605000
48,76.703000
48,30.922000
48,6.722000
48,0.443000
48,31.425000
48,7.367000
48,15.182000
48,39.196000
48,0.824000
48,0.737000
48,52.261000
48,13.309000
48,7.042000
48,2.375000
48,4.211000
48,34.004000
48,12.834000
48,30.996000
48,29.018000
48,7.156000
48,9.901000
48,18.389000
48,1.656000
48,10.669000
48,16.063000
48,11.627000
48,3.155000
48,4.071000
48,4.174000
52,11.235000
52,104.812000
52,62.817000
52,2.293000
52,214.054000
52,21.249000
52,128.322000
52,41.877000
52,151.302000
52,0.237000
52,100.714000
52,2.013000
52,35.247000
52,61.646000
52,99.888000
52,477.985000
52,72.385000
52,92.271000
52,54.091000
52,2.357000
52,65.747000
52,70.679000
52,47.449000
52,243.783000
52,75.647000
52,37.735000
52,63.540000
52,2.777000
52,5.904000
52,35.264000
