chunk,threads,setsize,time
1000,2,28,0.006000
1000,2,28,0.012000
1000,2,28,0.004000
1000,2,28,0.001000
1000,2,28,0.007000
1000,2,28,0.001000
1000,2,28,0.004000
1000,2,28,0.001000
1000,2,28,0.004000
1000,2,28,0.001000
1000,2,28,0.001000
1000,2,28,0.001000
1000,2,28,0.007000
1000,2,28,0.017000
1000,2,28,0.001000
1000,2,28,0.009000
1000,2,28,0.003000
1000,2,28,0.004000
1000,2,28,0.015000
1000,2,28,0.003000
1000,2,28,0.001000
1000,2,28,0.005000
1000,2,28,0.008000
1000,2,28,0.000000
1000,2,28,0.005000
1000,2,28,0.005000
1000,2,28,0.002000
1000,2,28,0.001000
1000,2,32,0.037000
1000,2,32,0.121000
1000,2,32,0.020000
1000,2,32,0.004000
1000,2,32,0.011000
1000,2,32,0.010000
1000,2,32,0.002000
1000,2,32,0.000000
1000,2,32,0.012000
1000,2,32,0.001000
1000,2,32,0.018000
1000,2,32,0.002000
1000,2,32,0.016000
1000,2,32,0.015000
1000,2,32,0.007000
1000,2,32,0.012000
1000,2,32,0.019000
1000,2,32,0.014000
1000,2,32,0.026000
1000,2,32,0.094000
1000,2,32,0.046000
1000,2,32,0.003000
1000,2,32,0.069000
1000,2,32,0.011000
1000,2,32,0.008000
1000,2,32,0.013000
1000,2,32,0.011000
1000,2,32,0.054000
1000,2,32,0.014000
1000,2,32,0.204000
1000,2,36,0.474000
1000,2,36,0.033000
1000,2,36,0.013000
1000,2,36,0.094000
1000,2,36,0.002000
1000,2,36,1.196000
1000,2,36,0.119000
1000,2,36,0.009000
1000,2,36,0.298000
1000,2,36,0.065000
1000,2,36,0.076000
1000,2,36,0.063000
1000,2,36,0.015000
1000,2,36,0.045000
1000,2,36,0.197000
1000,2,36,0.096000
1000,2,36,0.035000
1000,2,36,0.084000
1000,2,36,0.324000
1000,2,36,0.059000
1000,2,36,0.025000
1000,2,36,0.080000
1000,2,36,0.006000
1000,2,36,0.000000
1000,2,36,0.218000
1000,2,36,0.141000
1000,2,36,0.052000
1000,2,36,0.017000
1000,2,36,0.007000
1000,2,36,0.054000
1000,2,40,0.018000
1000,2,40,0.052000
1000,2,40,0.305000
1000,2,40,1.229000
1000,2,40,0.182000
1000,2,40,0.373000
1000,2,40,0.870000
1000,2,40,0.362000
1000,2,40,0.935000
1000,2,40,0.373000
1000,2,40,0.440000
1000,2,40,0.823000
1000,2,40,1.448000
1000,2,40,0.108000
1000,2,40,0.586000
1000,2,40,0.050000
1000,2,40,0.313000
1000,2,40,0.003000
1000,2,40,1.675000
1000,2,40,0.261000
1000,2,40,0.071000
1000,2,40,0.167000
1000,2,40,0.853000
1000,2,40,0.649000
1000,2,40,0.965000
1000,2,40,0.083000
1000,2,40,0.120000
1000,2,40,0.068000
1000,2,40,0.085000
1000,2,40,2.181000
1000,2,44,0.721000
1000,2,44,0.338000
1000,2,44,2.364000
1000,2,44,0.541000
1000,2,44,0.421000
