k,a,b,xk,f(xk),epsilon
0,0,1,0.5,0.351279,-
1,0,0.5,0.25,-0.284025,1
2,0.25,0.5,0.375,0.0450086,0.333333
3,0.25,0.375,0.3125,-0.116838,0.2
4,0.3125,0.375,0.34375,-0.035226,0.0909091
5,0.34375,0.375,0.359375,0.00506614,0.0434783
6,0.34375,0.359375,0.351562,-0.0150366,0.0222222
7,0.351562,0.359375,0.355469,-0.00497433,0.010989
8,0.355469,0.359375,0.357422,4.86285e-005,0.00546448
9,0.355469,0.357422,0.356445,-0.00246217,0.00273973
10,0.356445,0.357422,0.356934,-0.0012066,0.00136799
11,0.356934,0.357422,0.357178,-0.000578944,0.000683527
12,0.357178,0.357422,0.3573,-0.000265147,0.000341647
13,0.3573,0.357422,0.357361,-0.000108257,0.000170794
14,0.357361,0.357422,0.357391,-2.98134e-005,8.53898e-005
15,0.357391,0.357422,0.357407,9.40769e-006,4.26931e-005
16,0.357391,0.357407,0.357399,-1.02028e-005,2.1347e-005
17,0.357399,0.357407,0.357403,-3.97556e-007,1.06734e-005
18,0.357403,0.357407,0.357405,4.50507e-006,5.33666e-006
19,0.357403,0.357405,0.357404,2.05376e-006,2.66834e-006
20,0.357403,0.357404,0.357403,8.281e-007,1.33417e-006
21,0.357403,0.357403,0.357403,2.15272e-007,6.67086e-007
22,0.357403,0.357403,0.357403,-9.11419e-008,3.33543e-007
23,0.357403,0.357403,0.357403,6.20652e-008,1.66772e-007
24,0.357403,0.357403,0.357403,-1.45384e-008,8.33858e-008
25,0.357403,0.357403,0.357403,2.37634e-008,4.16929e-008
26,0.357403,0.357403,0.357403,4.6125e-009,2.08464e-008
27,0.357403,0.357403,0.357403,-4.96294e-009,1.04232e-008
28,0.357403,0.357403,0.357403,-1.75223e-010,5.21161e-009
29,0.357403,0.357403,0.357403,2.21864e-009,2.60581e-009
30,0.357403,0.357403,0.357403,1.02171e-009,1.3029e-009
31,0.357403,0.357403,0.357403,4.23243e-010,6.51451e-010
32,0.357403,0.357403,0.357403,1.2401e-010,3.25726e-010
33,0.357403,0.357403,0.357403,-2.56062e-011,1.62863e-010
34,0.357403,0.357403,0.357403,4.9202e-011,8.14314e-011
