k,xk,f(xk),fd(xk),epsilon
0,-2,-8,44,-
1,-1.81818,-0.928625,33.9504,0.1
2,-1.79083,-0.0195537,32.5244,0.0152736
3,-1.79023,-9.34672e-006,32.4933,0.000335824
4,-1.79022793458,-2.13857404008e-012,32.4932849969,1.60678e-007
5,-1.79022793458,-6.86950496487e-016,32.4932849969,3.67133e-014
