k,xk,f(xk),fd(xk),epsilon
0,0.5,-1.125,-7.25,-
1,0.344828,0.185985,-9.52675,0.45
2,0.36435,0.00238967,-9.28004,0.0535816
3,0.364608,4.28793e-007,-9.27671,0.000706256
4,0.364607579233,1.387388468e-014,-9.27670453902,1.26773e-007
5,0.364607579233,-2.12503625807e-017,-9.27670453902,4.11072e-015
