k,a,b,xk,f(xk),epsilon
0,0.8,1,0.9,0.0266731,-
1,0.8,0.9,0.85,-0.0287804,0.0588235
2,0.85,0.9,0.875,-0.0019185,0.0285714
3,0.875,0.9,0.8875,0.0121605,0.0140845
4,0.875,0.8875,0.88125,0.00506685,0.0070922
5,0.875,0.88125,0.878125,0.00156065,0.00355872
6,0.875,0.878125,0.876563,-0.000182306,0.00178253
7,0.876563,0.878125,0.877344,0.000688327,0.000890472
8,0.876563,0.877344,0.876953,0.000252799,0.000445434
9,0.876563,0.876953,0.876758,3.51937e-005,0.000222767
10,0.876563,0.876758,0.87666,-7.35694e-005,0.000111396
11,0.87666015625,0.8767578125,0.876708984375,-1.91911798797e-005,5.56948e-005
12,0.876708984375,0.8767578125,0.876733398437,8.00041100824e-006,2.78466e-005
13,0.876708984375,0.876733398437,0.876721191406,-5.59559071589e-006,1.39235e-005
14,0.876721191406,0.876733398437,0.876727294922,1.20235857604e-006,6.9617e-006
15,0.876721191406,0.876727294922,0.876724243164,-2.19662896239e-006,3.48086e-006
16,0.876724243164,0.876727294922,0.876725769043,-4.97138416322e-007,1.74043e-006
17,0.876725769043,0.876727294922,0.876726531982,3.52609274001e-007,8.70214e-007
18,0.876725769043,0.876726531982,0.876726150513,-7.22647726104e-008,4.35107e-007
19,0.876726150513,0.876726531982,0.876726341248,1.40172200291e-007,2.17553e-007
20,0.876726150513,0.876726341248,0.87672624588,3.3953701295e-008,1.08777e-007
21,0.876726150513,0.87672624588,0.876726198196,-1.91555387108e-008,5.43884e-008
22,0.876726198196,0.87672624588,0.876726222038,7.39908045944e-009,2.71942e-008
23,0.876726198196,0.876726222038,0.876726210117,-5.87822934772e-009,1.35971e-008
24,0.876726210117,0.876726222038,0.876726216078,7.60425500346e-010,6.79855e-009
25,0.876726210117,0.876726216078,0.876726213098,-2.55890186818e-009,3.39927e-009
26,0.876726213098,0.876726216078,0.876726214588,-8.99238350449e-010,1.69964e-009
27,0.876726214588,0.876726216078,0.876726215333,-6.94063695406e-011,8.49818e-010
28,0.876726215333,0.876726216078,0.876726215705,3.45509509891e-010,4.24909e-010
29,0.876726215333,0.876726215705,0.876726215519,1.38051570175e-010,2.12455e-010
30,0.876726215333,0.876726215519,0.876726215426,3.43226558286e-011,1.06227e-010
31,0.876726215333,0.876726215426,0.876726215379,-1.75420789006e-011,5.31137e-011
